preferredName_A	preferredName_B	score
SFN	TP53	0.999
SFN	MDM2	0.989
SFN	ESR1	0.984
SFN	FOXO1	0.984
SFN	MDM4	0.977
SFN	LRRK2	0.975
SFN	KRT17	0.967
SFN	CDC25C	0.966
SFN	CCNB1	0.965
SFN	CDK1	0.963
SFN	ANPEP	0.96
SFN	AMOT	0.941
SFN	CDK2	0.94
SFN	GAB2	0.938
SFN	RAF1	0.937
SFN	JUN	0.934
SFN	WWTR1	0.924
SFN	CDKN1B	0.923
SFN	CCNB2	0.919
SFN	NFKBIA	0.918
SFN	NEDD4L	0.916
SFN	RELA	0.916
SFN	HSPB6	0.916
SFN	SOS1	0.915
SFN	BAD	0.914
SFN	JUND	0.912
SFN	PIN1	0.909
SFN	CCNB3	0.906
SFN	SHROOM3	0.905
SFN	PADI6	0.904
