,assembly,n_uniprots,composition,crystal_id
0,1,2,Homo,4j26
1,2,2,Homo,4j26
0,1,4,Homo,1yye
0,1,4,Hetero,7xvy
0,1,2,Homo,2i0g
0,1,2,Homo,2jj3
0,1,2,Hetero,3omp
1,2,2,Hetero,3omp
2,3,4,Hetero,3omp
0,1,4,Hetero,1zaf
0,1,2,Hetero,3omq
1,2,2,Hetero,3omq
2,3,4,Hetero,3omq
0,1,4,Homo,1u3s
0,1,4,Hetero,2nv7
0,1,4,Homo,7xwq
0,1,4,Homo,1x7j
0,1,2,Homo,5toa
0,1,2,Homo,1u9e
1,2,2,Homo,1u9e
2,3,4,Homo,1u9e
0,1,2,Homo,1u3q
1,2,2,Homo,1u3q
0,1,2,Homo,2qtu
0,1,2,Hetero,3ols
1,2,2,Hetero,3ols
2,3,4,Hetero,3ols
0,1,1,Homo,1l2j
1,2,1,Homo,1l2j
2,3,1,Homo,1l2j
0,1,4,Homo,1yy4
0,1,4,Homo,7xvz
0,1,1,Homo,1nde
1,2,1,Homo,1nde
2,3,1,Homo,1nde
0,1,4,Homo,2yjd
0,1,2,Homo,4j24
1,2,2,Homo,4j24
2,3,2,Homo,4j24
3,4,2,Homo,4j24
0,1,2,Hetero,3omo
1,2,2,Hetero,3omo
2,3,4,Hetero,3omo
0,1,4,Homo,7xwp
0,1,4,Homo,7xwr
0,1,1,Homo,1qkm
0,1,2,Homo,2fsz
1,2,2,Homo,2fsz
0,1,2,Homo,2z4b
0,1,1,Homo,2giu
0,1,4,Homo,1x7b
0,1,2,Hetero,3oll
1,2,2,Hetero,3oll
2,3,4,Hetero,3oll
0,1,2,Hetero,4zi1
0,1,4,Homo,1u3r
0,1,4,Homo,1x78
0,1,4,Homo,1x76
0,1,2,Homo,2yly
