preferredName_A	preferredName_B	score
BUB1	BUB1B	0.999
BUB1	TTK	0.999
BUB1	CDC20	0.999
BUB1	KNL1	0.999
BUB1	BUB3	0.999
BUB1	MAD2L1	0.999
BUB1	NDC80	0.998
BUB1	MAD1L1	0.998
BUB1	CCNB2	0.998
BUB1	CDK1	0.998
BUB1	AURKB	0.997
BUB1	PLK1	0.996
BUB1	NUF2	0.994
BUB1	KIF2C	0.994
BUB1	CCNB1	0.992
BUB1	CENPE	0.991
BUB1	ZWINT	0.991
BUB1	ESPL1	0.99
BUB1	CENPF	0.987
BUB1	DLGAP5	0.986
BUB1	KIF11	0.985
BUB1	MELK	0.984
BUB1	SGO1	0.982
BUB1	TOP2A	0.982
BUB1	CCNA2	0.981
BUB1	BIRC5	0.979
BUB1	NCAPG	0.976
BUB1	ASPM	0.976
BUB1	AURKA	0.971
BUB1	CDCA8	0.971
BUB1	CENPA	0.969
BUB1	MAD2L2	0.968
BUB1	SPC25	0.967
BUB1	MKI67	0.963
BUB1	KIF20A	0.959
BUB1	KIF23	0.958
BUB1	TPX2	0.958
BUB1	PTTG1	0.955
BUB1	UBE2C	0.954
BUB1	KIF4A	0.952
BUB1	ECT2	0.947
BUB1	CHEK1	0.946
BUB1	DSN1	0.944
BUB1	RAE1	0.939
BUB1	HASPIN	0.938
BUB1	NUSAP1	0.937
BUB1	PBK	0.935
BUB1	CDC23	0.934
BUB1	SPAG5	0.934
BUB1	CDCA5	0.933
