preferredName_A	preferredName_B	score
TGFB1	DCN	0.999
TGFB1	TGFBR1	0.999
TGFB1	LTBP1	0.999
TGFB1	TGFBR2	0.999
TGFB1	ENG	0.998
TGFB1	TGFBR3	0.997
TGFB1	LTBP4	0.997
TGFB1	LTBP3	0.996
TGFB1	LRRC32	0.995
TGFB1	ITGAV	0.994
TGFB1	SMAD3	0.99
TGFB1	SMAD7	0.989
TGFB1	TGFB3	0.988
TGFB1	ITGB6	0.986
TGFB1	THBS1	0.985
TGFB1	ITGB8	0.983
TGFB1	SMAD2	0.983
TGFB1	FGF2	0.982
TGFB1	BGN	0.978
TGFB1	FMOD	0.976
TGFB1	IGF1	0.976
TGFB1	EGFR	0.975
TGFB1	CCN2	0.969
TGFB1	FN1	0.969
TGFB1	MMP9	0.968
TGFB1	MMP2	0.962
TGFB1	NRROS	0.961
TGFB1	IL6	0.96
TGFB1	SMAD4	0.959
TGFB1	LTBP2	0.959
TGFB1	ACVRL1	0.958
TGFB1	TGFB2	0.957
TGFB1	CXCL11	0.947
TGFB1	NRP1	0.944
TGFB1	TNF	0.941
TGFB1	LEFTY2	0.932
TGFB1	IL1B	0.932
TGFB1	IL10	0.932
TGFB1	PPARG	0.922
TGFB1	HGF	0.921
TGFB1	INHBA	0.92
TGFB1	LEFTY1	0.919
TGFB1	ASPN	0.917
TGFB1	INHBB	0.912
TGFB1	A2M	0.91
TGFB1	INHBE	0.905
TGFB1	INHBC	0.905
TGFB1	EGF	0.904
TGFB1	IL17A	0.903
