preferredName_A	preferredName_B	score
UGT2B7	CYP3A4	0.998
UGT2B7	CYP2D6	0.979
UGT2B7	CYP3A5	0.974
UGT2B7	CYP2A6	0.973
UGT2B7	SLC35A2	0.967
UGT2B7	CYP2E1	0.962
UGT2B7	CYP1A1	0.962
UGT2B7	SULT1E1	0.944
UGT2B7	GUSB	0.944
UGT2B7	CYP1B1	0.944
UGT2B7	AOX1	0.943
UGT2B7	CYP2A13	0.941
UGT2B7	CYP2C8	0.939
UGT2B7	CYP19A1	0.935
UGT2B7	UGDH	0.934
UGT2B7	AKR1C3	0.933
UGT2B7	CYP2C9	0.928
UGT2B7	CBR1	0.925
UGT2B7	AKR1C2	0.924
UGT2B7	CYP2B6	0.924
UGT2B7	AKR1C1	0.922
UGT2B7	AKR1C4	0.918
UGT2B7	HSD17B3	0.918
UGT2B7	CYP1A2	0.916
UGT2B7	AKR1D1	0.915
UGT2B7	B3GAT2	0.913
UGT2B7	MIOX	0.901
