preferredName_A	preferredName_B	score
CCL4	CCR2	0.999
CCL4	CCR5	0.999
CCL4	CCR1	0.999
CCL4	CCR3	0.998
CCL4	CCL3	0.997
CCL4	CCR7	0.996
CCL4	CXCR4	0.995
CCL4	CXCR3	0.995
CCL4	CXCL8	0.988
CCL4	CCR8	0.983
CCL4	CXCR2	0.977
CCL4	TNF	0.967
CCL4	CCR6	0.965
CCL4	CXCL9	0.959
CCL4	CXCL10	0.959
CCL4	CCL4L2	0.956
CCL4	CCL5	0.953
CCL4	CXCL13	0.949
CCL4	CXCL12	0.948
CCL4	CCL17	0.943
CCL4	IFNG	0.942
CCL4	CXCL1	0.941
CCL4	CCL20	0.94
CCL4	IL1B	0.94
CCL4	CD4	0.939
CCL4	IL10	0.936
CCL4	IRF5	0.934
CCL4	IL6	0.933
CCL4	IDE	0.932
CCL4	ACKR2	0.93
CCL4	CCRL2	0.925
CCL4	CSF2	0.924
CCL4	IL1A	0.921
CCL4	CXCL11	0.917
CCL4	CSF3	0.909
CCL4	CX3CL1	0.904
