uniprot_id	gene_id
A0A804HKY0	CNTNAP5
A0A0A0MRJ7	F5
O60462	NRP2
Q9GZP0	PDGFD
Q9Y6L7	TLL2
A0A0C4DGK4	NRXN3
Q96PD2	DCBLD2
E9PDN6	CNTNAP4
Q16820	MEP1B
Q6HA08	ASTL
A0A1B0GUQ1	NRXN1
A0A0U1RQG2	MFRP
A0A0A0MRL2	CUZD1
Q6MZM0	HEPHL1
Q15113	PCOLCE
A0A3B3ITE8	PCOLCE2
E7ES21	HEPH
O43854	EDIL3
O60494	CUBN
E9PEP6	NRP1
Q8NC67	NETO2
Q5VXM1	CDCP2
A0A090N7T7	CNTNAP2
K7EMM9	CNTNAP1
Q08431	MFGE8
Q3MIM8	BMP1
B7ZL91	MEP1A
A0A2P0CT92	CNTNAP3B
A0A1B0GTE1	CNTNAP3C
B1AM99	CNTNAP3
H7C2R8	NRXN2
A0A2R8Y707	F8
Q8TDF5	NETO1
D6RCE0	TLL1
Q9NRA1	PDGFC
