preferredName_A	preferredName_B	score
SDC1	FN1	0.999
SDC1	FGF2	0.997
SDC1	SDCBP	0.997
SDC1	GPC1	0.996
SDC1	WDR82	0.989
SDC1	THBS1	0.989
SDC1	ASH2L	0.989
SDC1	RBBP5	0.989
SDC1	WDR5	0.987
SDC1	SDC2	0.982
SDC1	MMP9	0.968
SDC1	HSPG2	0.966
SDC1	HPSE	0.957
SDC1	XYLT1	0.95
SDC1	IL34	0.948
SDC1	SDC4	0.947
SDC1	THBS4	0.946
SDC1	HPSE2	0.944
SDC1	BGN	0.943
SDC1	DCN	0.935
SDC1	ITGB3	0.932
SDC1	APOE	0.932
SDC1	CD44	0.927
SDC1	ITGAV	0.924
SDC1	SDCBP2	0.923
SDC1	WNT1	0.922
SDC1	THBS2	0.921
SDC1	HMGB1	0.921
SDC1	TNC	0.912
SDC1	COMP	0.911
SDC1	THBS3	0.908
SDC1	TNXB	0.904
SDC1	TNN	0.902
SDC1	HGF	0.901
