Biomarker_1,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
VINEX_CDK1,0.9993,0.51515,0.98113,1.00000,0.98182,1.00000,0.51515,0.98113,1.00000,0.98182,1.00000,0.51515,0.98113,1.00000,0.98182,1.00000
CDK1_VINEX,0.9993,0.51515,0.98113,1.00000,0.98182,1.00000,0.51515,0.98113,1.00000,0.98182,1.00000,0.51515,0.98113,1.00000,0.98182,1.00000
VINEX_ACACA,0.99849,0.42424,0.98077,0.98039,0.98039,0.98077,0.42424,0.98077,0.98039,0.98039,0.98077,0.42424,0.98077,0.98039,0.98039,0.98077
ACACA_VINEX,0.99849,0.42424,0.98077,0.98039,0.98039,0.98077,0.42424,0.98077,0.98039,0.98039,0.98077,0.42424,0.98077,0.98039,0.98039,0.98077
ASNS_AL1A1,0.99828,0.38384,0.98214,0.98077,0.98077,0.98214,0.74747,0.94643,1.00000,0.94545,1.00000,0.38384,0.98214,0.98077,0.98077,0.98214
AL1A1_ASNS,0.99828,0.38384,0.98214,0.98077,0.98077,0.98214,0.74747,0.94643,1.00000,0.94545,1.00000,0.38384,0.98214,0.98077,0.98077,0.98214
AL1A1_CDK1,0.99812,0.23232,0.98276,0.98182,0.98182,0.98276,0.23232,0.98276,0.98182,0.98182,0.98276,0.23232,0.98276,0.98182,0.98182,0.98276
CDK1_AL1A1,0.99812,0.23232,0.98276,0.98182,0.98182,0.98276,0.23232,0.98276,0.98182,0.98182,0.98276,0.23232,0.98276,0.98182,0.98182,0.98276
CLIC2_ACACA,0.99637,0.35354,0.98148,0.96078,0.98000,0.96364,0.41414,0.96296,0.98039,0.96154,0.98113,0.41414,0.96296,0.98039,0.96154,0.98113
ACACA_CLIC2,0.99637,0.35354,0.98148,0.96078,0.98000,0.96364,0.41414,0.96296,0.98039,0.96154,0.98113,0.41414,0.96296,0.98039,0.96154,0.98113
AL1A2_ASNS,0.99615,0.20202,0.98182,0.94231,0.98000,0.94737,0.56566,0.94545,0.98077,0.94444,0.98113,0.82828,0.92727,1.00000,0.92857,1.00000
ASNS_AL1A2,0.99615,0.20202,0.98182,0.94231,0.98000,0.94737,0.56566,0.94545,0.98077,0.94444,0.98113,0.82828,0.92727,1.00000,0.92857,1.00000
ASNS_MXRA7,0.99554,0.20202,0.98214,0.92308,0.97959,0.93220,0.57576,0.96429,0.98077,0.96226,0.98182,0.57576,0.96429,0.98077,0.96226,0.98182
MXRA7_ASNS,0.99554,0.20202,0.98214,0.92308,0.97959,0.93220,0.57576,0.96429,0.98077,0.96226,0.98182,0.57576,0.96429,0.98077,0.96226,0.98182
CLIC2_IMA1,0.99536,0.30303,0.98214,0.96000,0.97959,0.96491,0.65657,0.94643,0.98000,0.94231,0.98148,0.30303,0.98214,0.96000,0.97959,0.96491
AL1A2_IMA1,0.99536,0.08081,1.00000,0.90000,1.00000,0.91803,0.49495,0.94643,0.98000,0.94231,0.98148,0.75758,0.92857,1.00000,0.92593,1.00000
IMA1_CLIC2,0.99536,0.30303,0.98214,0.96000,0.97959,0.96491,0.65657,0.94643,0.98000,0.94231,0.98148,0.30303,0.98214,0.96000,0.97959,0.96491
IMA1_AL1A2,0.99536,0.08081,1.00000,0.90000,1.00000,0.91803,0.49495,0.94643,0.98000,0.94231,0.98148,0.75758,0.92857,1.00000,0.92593,1.00000
AL1A2_ACACA,0.99528,0.17172,0.98148,0.92157,0.97917,0.92982,0.19192,0.96296,0.94118,0.96000,0.94545,0.87879,0.92593,1.00000,0.92727,1.00000
ACACA_AL1A2,0.99528,0.17172,0.98148,0.92157,0.97917,0.92982,0.19192,0.96296,0.94118,0.96000,0.94545,0.87879,0.92593,1.00000,0.92727,1.00000
CLIC2_CDK1,0.99522,0.19192,1.00000,0.92727,1.00000,0.93443,0.53535,0.96491,0.96364,0.96364,0.96491,0.53535,0.96491,0.96364,0.96364,0.96491
CDK1_CLIC2,0.99522,0.19192,1.00000,0.92727,1.00000,0.93443,0.53535,0.96491,0.96364,0.96364,0.96491,0.53535,0.96491,0.96364,0.96364,0.96491
EGLN_ACACA,0.99465,0.16162,0.98182,0.92157,0.97917,0.93103,0.42424,0.96364,0.98039,0.96154,0.98148,0.42424,0.96364,0.98039,0.96154,0.98148
