preferredName_A	preferredName_B	score
HNRNPA1	HNRNPC	0.999
HNRNPA1	TNPO1	0.998
HNRNPA1	HNRNPH1	0.998
HNRNPA1	HNRNPA2B1	0.998
HNRNPA1	PTBP1	0.998
HNRNPA1	TARDBP	0.997
HNRNPA1	HNRNPK	0.995
HNRNPA1	HNRNPL	0.993
HNRNPA1	SRSF1	0.993
HNRNPA1	HNRNPM	0.993
HNRNPA1	HNRNPU	0.992
HNRNPA1	HNRNPR	0.989
HNRNPA1	HNRNPF	0.983
HNRNPA1	RBMX	0.982
HNRNPA1	HNRNPH3	0.98
HNRNPA1	MATR3-2	0.98
HNRNPA1	KHDRBS1	0.975
HNRNPA1	FUS	0.975
HNRNPA1	SFPQ	0.97
HNRNPA1	SRSF3	0.97
HNRNPA1	PCBP1	0.966
HNRNPA1	ELAVL1	0.965
HNRNPA1	DHX9	0.964
HNRNPA1	KHSRP	0.964
HNRNPA1	SRSF7	0.964
HNRNPA1	HNRNPH2	0.962
HNRNPA1	ILF3	0.96
HNRNPA1	ALYREF	0.957
HNRNPA1	TRA2B	0.953
HNRNPA1	EWSR1	0.951
HNRNPA1	DDX39B	0.951
HNRNPA1	MATR3	0.95
HNRNPA1	SRSF5	0.949
HNRNPA1	HNRNPA3	0.949
HNRNPA1	SYNCRIP	0.947
HNRNPA1	NONO	0.945
HNRNPA1	PABPC1	0.945
HNRNPA1	PCBP2	0.94
HNRNPA1	EIF4A3	0.939
HNRNPA1	YBX1	0.937
HNRNPA1	HNRNPD	0.932
HNRNPA1	ILF2	0.931
HNRNPA1	U2AF1	0.93
HNRNPA1	DDX5	0.929
HNRNPA1	SRSF6	0.925
HNRNPA1	NPM1	0.923
HNRNPA1	HNRNPDL	0.92
HNRNPA1	SMN1	0.92
HNRNPA1	DROSHA	0.915
HNRNPA1	PRMT1	0.913
