Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
A0A024RBG1,NUD4B_HUMAN,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,6.07E+06,8.31E+06,3.24E+06,5.71E+06,4.03E+06,7.22E+06
A0A075B6H7,KV37_HUMAN,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,5.04E+07,1.37E+08,2.50E+08,7.29E+07,2.09E+08,1.29E+08
A0A075B6H9,LV469_HUMAN,IGLV4-69,Immunoglobulin lambda variable 4-69,2.68E+07,5.55E+07,1.04E+08,3.38E+07,6.97E+07,6.01E+07
A0A075B6I0,LV861_HUMAN,IGLV8-61,Immunoglobulin lambda variable 8-61,3.07E+07,1.09E+08,1.22E+08,2.67E+07,1.26E+08,7.03E+07
A0A075B6I1,LV460_HUMAN,IGLV4-60,Immunoglobulin lambda variable 4-60,7.28E+06,1.51E+07,3.87E+07,6.53E+06,2.18E+07,8.48E+06
A0A075B6I9,LV746_HUMAN,IGLV7-46,Immunoglobulin lambda variable 7-46,8.39E+07,1.32E+08,4.62E+08,9.02E+07,1.47E+08,7.99E+07
A0A075B6J1,LV537_HUMAN,IGLV5-37,Immunoglobulin lambda variable 5-37,547139,4.72E+06,,1.47E+06,210629,1.58E+06
A0A075B6J9,LV218_HUMAN,IGLV2-18,Immunoglobulin lambda variable 2-18,7.14E+06,8.35E+07,5.72E+07,5.39E+06,4.06E+07,2.65E+06
A0A075B6K0,LV316_HUMAN,IGLV3-16,Immunoglobulin lambda variable 3-16,1.56E+07,1.02E+08,1.33E+08,7.42E+07,7.90E+07,3.42E+07
A0A075B6K4,LV310_HUMAN,IGLV3-10,Immunoglobulin lambda variable 3-10,3.35E+07,6.25E+07,4.70E+07,4.13E+07,1.08E+08,3.35E+07
A0A075B6K6,LV403_HUMAN,IGLV4-3,Immunoglobulin lambda variable 4-3,,,1.37E+06,,557467,1.28E+06
A0A075B6Q5,HV364_HUMAN,IGHV3-64,Immunoglobulin heavy variable 3-64,1.79E+06,2.54E+06,1.93E+06,983064,2.71E+06,3.37E+06
A0A075B6R2,HV404_HUMAN,IGHV4-4,Immunoglobulin heavy variable 4-4,1.28E+07,1.47E+08,3.31E+07,3.22E+07,9.80E+07,7.12E+07
A0A075B6R9;A0A0C4DH68,KV224_HUMAN;KVD24_HUMAN,IGKV2-24;IGKV2D-24,Probable non-functional immunoglobulin kappa variable 2D-24,9.09E+07,1.70E+08,9.42E+08,1.74E+08,2.64E+08,2.10E+08
A0A075B6S2;A2NJV5,KV229_HUMAN;KVD29_HUMAN,IGKV2-29;IGKV2D-29,Immunoglobulin kappa variable 2D-29,3.72E+08,4.45E+08,7.95E+08,1.87E+08,1.31E+09,3.35E+08
A0A075B6S6,KVD30_HUMAN,IGKV2D-30,Immunoglobulin kappa variable 2D-30,414644,1.18E+06,4.13E+06,275362,4.42E+06,280809
A0A087WSY4,HV432_HUMAN,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,2.14E+07,6.79E+07,1.08E+08,3.32E+07,1.10E+08,3.47E+07
A0A087WSY6,KVD15_HUMAN,IGKV3D-15,Immunoglobulin kappa variable 3D-15,1.04E+07,3.80E+07,3.21E+07,1.45E+07,4.67E+07,2.31E+07
A0A087WSZ0,KVD08_HUMAN,IGKV1D-8,Immunoglobulin kappa variable 1D-8,2.86E+06,,9.19E+06,2.13E+06,4.42E+06,4.21E+06
A0A087WW87;P01614,KV240_HUMAN;KVD40_HUMAN,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40,6.72E+07,1.92E+08,2.96E+08,1.01E+08,1.94E+08,1.25E+08
A0A0A0MRZ8;P04433,KV311_HUMAN;KVD11_HUMAN,IGKV3-11;IGKV3D-11,Immunoglobulin kappa variable 3D-11,3.22E+08,7.47E+08,9.50E+08,3.25E+08,1.06E+09,6.26E+08
A0A0A0MRZ9,LV552_HUMAN,IGLV5-52,Immunoglobulin lambda variable 5-52,,,941644,132351,,
A0A0A0MS14,HV145_HUMAN,IGHV1-45,Immunoglobulin heavy variable 1-45,7603.28,,27169.1,20591.2,20369.7,8814.03
A0A0A0MS15,HV349_HUMAN,IGHV3-49,Immunoglobulin heavy variable 3-49,4.71E+07,4.79E+07,1.72E+08,3.52E+07,1.35E+08,5.51E+07
A0A0A0MT36,KVD21_HUMAN,IGKV6D-21,Immunoglobulin kappa variable 6D-21,1.15E+06,1.18E+06,2.89E+06,607382,5.34E+06,644847
A0A0A0MT89,KJ01_HUMAN,IGKJ1,Immunoglobulin kappa joining 1,5.96E+06,9.51E+06,6.25E+07,2.85E+07,4.69E+07,1.22E+07
