preferredName_A	preferredName_B	score
CCT7	CCT6A	0.999
CCT7	CCT5	0.999
CCT7	CCT3	0.999
CCT7	TCP1	0.999
CCT7	CCT4	0.999
CCT7	CCT8	0.999
CCT7	CCT2	0.999
CCT7	CCT6B	0.998
CCT7	CDC20	0.995
CCT7	PPP2CA	0.995
CCT7	PPP2R2C	0.994
CCT7	PPP2CB	0.994
CCT7	STRN4	0.994
CCT7	MOB4	0.994
CCT7	STRN3	0.994
CCT7	STK24	0.994
CCT7	CCT8L2	0.993
CCT7	PDCL3	0.99
CCT7	PFDN5	0.981
CCT7	PFDN4	0.971
CCT7	ERMARD	0.97
CCT7	PFDN2	0.969
CCT7	VBP1	0.966
CCT7	PFDN1	0.964
CCT7	STIP1	0.964
CCT7	PFDN6	0.956
CCT7	HSP90AB1	0.956
CCT7	ACTG1	0.947
CCT7	DNAJC9	0.946
CCT7	TUBB	0.946
CCT7	PTGES3	0.946
CCT7	TSC1	0.943
CCT7	CDC37	0.931
CCT7	TUBB2A	0.928
CCT7	BBS10	0.923
CCT7	HSPA8	0.922
CCT7	MKKS	0.922
CCT7	PSMG1	0.922
CCT7	PSMG2	0.912
CCT7	PPP5C	0.908
CCT7	PDCL	0.907
