preferredName_A	preferredName_B	score
IGF1R	ESR1	0.999
IGF1R	SHC1	0.999
IGF1R	IGF1	0.999
IGF1R	INS	0.999
IGF1R	IGF2	0.999
IGF1R	IRS1	0.999
IGF1R	IRS2	0.998
IGF1R	EGF	0.997
IGF1R	INSR	0.997
IGF1R	SRC	0.996
IGF1R	GRB10	0.996
IGF1R	PIK3R1	0.994
IGF1R	PTPN1	0.993
IGF1R	ERBB2	0.993
IGF1R	PIK3R3	0.99
IGF1R	EGFR	0.989
IGF1R	GRB2	0.985
IGF1R	CTNNB1	0.985
IGF1R	APPL1	0.982
IGF1R	JAK2	0.981
IGF1R	MDM2	0.981
IGF1R	PIK3CA	0.978
IGF1R	PTK2	0.978
IGF1R	CAV1	0.971
IGF1R	PIK3CB	0.971
IGF1R	KRAS	0.971
IGF1R	IRS4	0.968
IGF1R	PIK3R2	0.964
IGF1R	JAK1	0.964
IGF1R	INSRR	0.96
IGF1R	NRAS	0.96
IGF1R	IGFBP3	0.96
IGF1R	HGF	0.955
IGF1R	TSHR	0.951
IGF1R	PIK3CD	0.95
IGF1R	SHC3	0.949
IGF1R	HRAS	0.949
IGF1R	KL	0.946
IGF1R	SHC4	0.945
IGF1R	INS-IGF2	0.937
IGF1R	GNAI1	0.937
IGF1R	GAB1	0.935
IGF1R	PTPN11	0.935
IGF1R	NEDD4	0.934
IGF1R	ERBB3	0.933
IGF1R	ITGB3	0.932
IGF1R	CRKL	0.931
IGF1R	GNAS	0.927
IGF1R	PRKACB	0.921
IGF1R	STAT3	0.921
