uniprot_id	gene_id
O43320	FGF16
A0A7U3JVY0	FGF5C
P31371	FGF9
O60258	FGF17
A0A7U3JVZ2	FGF2B
D6RG33	FGF10
A0A087X1S5	FGF8
Q9HCT0	FGF22
Q9GZV9	FGF23
O76093	FGF18
H0YGZ9	FGF6
A0A7U3JVY2	FGF5B
A0A7U3L5M7	FGF8C
C9JUK8	FGF12
B1AJW0	FGF13
A0A7U3L4E7	FGF8A
I3L4N4	FGF11
A0A7U3L649	FGF4A
A0A7U3JW12	FGF7A
A0A9L9PX77	FGF14
H0Y9E2	FGF5
O43320	FGF16
A0A7U3JVY0	FGF5C
P31371	FGF9
O60258	FGF17
A0A7U3JVZ2	FGF2B
D6RG33	FGF10
A0A087X1S5	FGF8
Q9HCT0	FGF22
Q9GZV9	FGF23
O76093	FGF18
H0YGZ9	FGF6
A0A7U3JVY2	FGF5B
A0A7U3L5M7	FGF8C
C9JUK8	FGF12
D9ZGF5	FGF2
A0A7U3L4E7	FGF8A
I3L4N4	FGF11
A0A7U3L649	FGF4A
A0A7U3JW12	FGF7A
A0A9L9PX77	FGF14
H0Y9E2	FGF5
