preferredName_A	preferredName_B	score
FGF2	FGFR2	0.999
FGF2	FGFR4	0.999
FGF2	FGFR1	0.999
FGF2	FGFR3	0.999
FGF2	HSPG2	0.998
FGF2	KDR	0.998
FGF2	SDC1	0.997
FGF2	FGFBP1	0.995
FGF2	FLT1	0.993
FGF2	CD44	0.993
FGF2	SDC4	0.993
FGF2	GPC1	0.987
FGF2	S100B	0.986
FGF2	PDGFRA	0.982
FGF2	PTX3	0.982
FGF2	TGFB1	0.982
FGF2	CX3CL1	0.971
FGF2	EGF	0.969
FGF2	CCL11	0.968
FGF2	CSF2	0.965
FGF2	FN1	0.965
FGF2	FGF1	0.962
FGF2	CSF3	0.961
FGF2	NTRK1	0.959
FGF2	EGFR	0.957
FGF2	API5	0.955
FGF2	HGF	0.955
FGF2	PDGFB	0.953
FGF2	FGF17	0.953
FGF2	PDGFRB	0.953
FGF2	FLT4	0.942
FGF2	TEK	0.941
FGF2	BMP2	0.937
FGF2	NRP1	0.935
FGF2	SOX2	0.933
FGF2	POU5F1	0.931
FGF2	AKT1	0.926
FGF2	NANOG	0.924
FGF2	MMP9	0.919
FGF2	CXCL1	0.918
FGF2	FLT3LG	0.918
FGF2	NTRK2	0.908
FGF2	MET	0.905
