Biomarker_1,AUC,Num_Positive,Num_Negative,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
VINEX_KPYM,0.98079,53,55,0.18182,0.98113,0.85455,0.97917,0.86667,0.25253,0.96226,0.87273,0.96000,0.87931,0.58586,0.90566,0.94545,0.91228,0.94118
KPCA_KPYM,0.98019,56,55,0.26263,0.98214,0.87273,0.97959,0.88710,0.26263,0.98214,0.87273,0.97959,0.88710,0.26263,0.98214,0.87273,0.97959,0.88710
PGS2_KPYM,0.96908,59,57,0.22222,0.96610,0.82456,0.95918,0.85075,0.24242,0.94915,0.85965,0.94231,0.87500,0.53535,0.86441,0.96491,0.87302,0.96226
HS12A_KPYM,0.96772,52,56,0.12121,0.98077,0.71429,0.97561,0.76119,0.22222,0.96154,0.78571,0.95652,0.80645,0.54545,0.88462,0.92857,0.89655,0.92000
AL1A2_KPYM,0.96703,58,57,0.23232,0.98276,0.85965,0.98000,0.87692,0.27273,0.94828,0.87719,0.94340,0.88710,0.46465,0.91379,0.94737,0.91525,0.94643
KAP3_KPYM,0.96569,53,55,0.08081,0.98113,0.58182,0.96970,0.69333,0.15152,0.96226,0.72727,0.95238,0.77273,0.60606,0.86792,0.98182,0.88525,0.97872
AL1L1_KPYM,0.96556,54,57,0.09091,0.98148,0.64912,0.97368,0.72603,0.19192,0.96296,0.75439,0.95556,0.78788,0.62626,0.87037,0.94737,0.88525,0.94000
AL1A1_KPYM,0.96134,59,57,0.13131,0.98305,0.66667,0.97436,0.75325,0.30303,0.94915,0.89474,0.94444,0.90323,0.47475,0.89831,0.94737,0.90000,0.94643
PDE5A_KPYM,0.95934,55,55,0.17172,0.98182,0.76364,0.97674,0.80597,0.24242,0.94545,0.83636,0.93878,0.85246,0.35354,0.92727,0.90909,0.92593,0.91071
IDI1_CLIC1,0.95917,57,55,0.0303,1.00000,0.40000,1.00000,0.63333,0.27273,0.94737,0.76364,0.93333,0.80597,0.60606,0.85965,0.94545,0.86667,0.94231
AL1A2_CLIC1,0.95826,58,57,0.17172,0.96552,0.73684,0.95455,0.78873,0.29293,0.94828,0.84211,0.94118,0.85938,0.48485,0.87931,0.94737,0.88525,0.94444
CLIC2_KPYM,0.95796,58,57,0.31313,0.96552,0.84211,0.96000,0.86154,0.38384,0.94828,0.87719,0.94340,0.88710,0.38384,0.94828,0.87719,0.94340,0.88710
VINEX_CLIC1,0.9578,53,55,0.12121,0.98113,0.72727,0.97561,0.77612,0.28283,0.96226,0.83636,0.95833,0.85000,0.54545,0.90566,0.90909,0.90909,0.90566
MECP2_KPYM,0.95778,59,57,0.10101,0.98305,0.63158,0.97297,0.73418,0.23232,0.94915,0.78947,0.93750,0.82353,0.59596,0.86441,0.92982,0.86885,0.92727
AL1A1_CLIC1,0.95361,59,57,0.18182,0.96610,0.75439,0.95556,0.80282,0.23232,0.94915,0.78947,0.93750,0.82353,0.65657,0.84746,0.94737,0.85714,0.94340
PRIO_KPYM,0.95247,55,57,0.14141,0.98182,0.63158,0.97297,0.72000,0.22222,0.94545,0.73684,0.93333,0.77612,0.38384,0.90909,0.89474,0.91071,0.89286
EPDR1_KPYM,0.95153,56,56,0.15152,0.98214,0.66071,0.97368,0.74324,0.22222,0.94643,0.71429,0.93023,0.76812,0.48485,0.89286,0.91071,0.89474,0.90909
AL1A2_MVP,0.9507,58,57,0.16162,0.98276,0.70175,0.97561,0.77027,0.23232,0.94828,0.71930,0.93182,0.77465,0.59596,0.86207,0.96491,0.87302,0.96154
CDN2C_KPYM,0.95047,53,56,0.06061,0.98113,0.42857,0.96000,0.61905,0.07071,0.96226,0.44643,0.92593,0.62195,0.41414,0.88679,0.94643,0.89831,0.94000
TM109_KPYM,0.94986,52,56,0.07071,0.98077,0.55357,0.96875,0.67105,0.19192,0.96154,0.78571,0.95652,0.80645,0.54545,0.90385,0.91071,0.91071,0.90385
KANK2_KPYM,0.94962,56,56,0.13131,0.98214,0.67857,0.97436,0.75342,0.15152,0.96429,0.73214,0.95349,0.78261,0.63636,0.83929,0.96429,0.85714,0.95918
KPCA_CLIC1,0.94838,56,55,0.18182,0.98214,0.70909,0.97500,0.77465,0.21212,0.94643,0.74545,0.93182,0.79104,0.64646,0.82143,0.90909,0.83333,0.90196
MECP2_CLIC1,0.94826,59,57,0.15152,0.98305,0.73684,0.97674,0.79452,0.23232,0.94915,0.75439,0.93478,0.80000,0.60606,0.88136,0.91228,0.88136,0.91228
NEP_KPYM,0.94667,50,54,0.17172,0.98000,0.70370,0.97436,0.75385,0.22222,0.96000,0.75926,0.95349,0.78689,0.36364,0.94000,0.88889,0.94118,0.88679
MXRA7_KPYM,0.94529,59,57,0.27273,0.96610,0.82456,0.95918,0.85075,0.27273,0.96610,0.82456,0.95918,0.85075,0.27273,0.96610,0.82456,0.95918,0.85075
RET7_KPYM,0.94467,52,57,0.10101,0.98077,0.59649,0.97143,0.68919,0.19192,0.96154,0.77193,0.95652,0.79365,0.34343,0.92308,0.85965,0.92453,0.85714
PGS2_CLIC1,0.94439,59,57,0.12121,0.96610,0.66667,0.95000,0.75000,0.24242,0.94915,0.77193,0.93617,0.81159,0.63636,0.81356,0.96491,0.83333,0.96000
SUCB1_KPYM,0.94371,52,55,0.0202,0.98077,0.16364,0.90000,0.52577,0.0303,0.96154,0.21818,0.85714,0.53763,0.64646,0.84615,0.98182,0.87097,0.97778
TMM43_KPYM,0.94327,50,55,0.11111,1.00000,0.58182,1.00000,0.68493,0.14141,0.96000,0.63636,0.94595,0.70588,0.50505,0.86000,0.89091,0.87500,0.87755
AL1L1_CLIC1,0.94314,54,57,0.07071,0.98148,0.47368,0.96429,0.63855,0.07071,0.98148,0.47368,0.96429,0.63855,0.69697,0.79630,1.00000,0.83824,1.00000
FKBP7_KPYM,0.94279,54,56,0.13131,0.98148,0.57143,0.96970,0.68831,0.24242,0.96296,0.73214,0.95349,0.77612,0.36364,0.90741,0.87500,0.90741,0.87500
CLIC2_CLIC1,0.94253,58,57,0.15152,0.96552,0.70175,0.95238,0.76712,0.25253,0.94828,0.80702,0.93878,0.83333,0.30303,0.93103,0.84211,0.92308,0.85714
AKA12_KPYM,0.94112,59,57,0.19192,0.96610,0.68421,0.95122,0.76000,0.28283,0.94915,0.71930,0.93182,0.77778,0.44444,0.86441,0.89474,0.86441,0.89474
FHL1_KPYM,0.94037,56,56,0.5,0.00000,0.00000,0.00000,0.00000,0.30303,0.94643,0.83929,0.94000,0.85484,0.42424,0.91071,0.92857,0.91228,0.92727
PRIO_AGRIN,0.93971,55,57,0.10101,1.00000,0.47368,1.00000,0.64706,0.12121,0.94545,0.59649,0.91892,0.69333,0.36364,0.87273,0.87719,0.87719,0.87273
MXRA7_CLIC1,0.93875,59,57,0.24242,0.96610,0.73684,0.95455,0.79167,0.27273,0.94915,0.77193,0.93617,0.81159,0.55556,0.84746,0.89474,0.85000,0.89286
EPDR1_CLIC1,0.93846,56,56,0.08081,0.98214,0.37500,0.95455,0.61111,0.17172,0.94643,0.67857,0.92683,0.74648,0.52525,0.87500,0.91071,0.87931,0.90741
ERMP1_KPYM,0.93838,54,55,0.14141,0.98148,0.61818,0.97143,0.71622,0.17172,0.96296,0.63636,0.94595,0.72222,0.62626,0.81481,0.94545,0.83871,0.93617
MYLK_KPYM,0.93812,58,56,0.0404,0.96552,0.16071,0.81818,0.54369,0.18182,0.94828,0.60714,0.91892,0.71429,0.44444,0.93103,0.94643,0.92982,0.94737
CD81_CLIC1,0.93776,52,55,0.16162,0.98077,0.65455,0.97297,0.72857,0.16162,0.98077,0.65455,0.97297,0.72857,0.28283,0.94231,0.83636,0.93878,0.84483
KAP3_CLIC1,0.93756,53,55,0.13131,0.98113,0.52727,0.96667,0.66667,0.15152,0.96226,0.65455,0.94737,0.72857,0.54545,0.79245,0.92727,0.82258,0.91304
IVD_KPYM,0.936,51,53,0.09091,0.98039,0.49057,0.96296,0.64935,0.12121,0.96078,0.58491,0.93939,0.69014,0.60606,0.84314,0.92453,0.85965,0.91489
AL1A2_AGRIN,0.93557,58,57,0.21212,0.96552,0.71930,0.95349,0.77778,0.29293,0.94828,0.80702,0.93878,0.83333,0.37374,0.91379,0.85965,0.90741,0.86885
