preferredName_A	preferredName_B	score
TNF	TAB2	0.999
TNF	NFKB1	0.999
TNF	TRAF2	0.999
TNF	RIPK1	0.999
TNF	CHUK	0.999
TNF	TRADD	0.999
TNF	IKBKB	0.999
TNF	BIRC2	0.999
TNF	CASP8	0.999
TNF	MAP3K7	0.999
TNF	TNFRSF1A	0.999
TNF	IKBKG	0.999
TNF	TNFRSF1B	0.999
TNF	TNFAIP3	0.999
TNF	MLKL	0.998
TNF	IL1B	0.998
TNF	TRAF6	0.998
TNF	RIPK3	0.998
TNF	TAB1	0.998
TNF	RNF31	0.998
TNF	IKBKE	0.998
TNF	TBK1	0.998
TNF	UBC	0.998
TNF	SHARPIN	0.998
TNF	TNFRSF10B	0.997
TNF	TNIP1	0.997
TNF	RELA	0.997
TNF	TNFRSF10A	0.997
TNF	FAS	0.997
TNF	RBCK1	0.997
TNF	TBKBP1	0.996
TNF	IL1R1	0.996
TNF	TANK	0.996
TNF	IL1A	0.994
TNF	IL6	0.994
TNF	AZI2	0.994
TNF	IL10	0.992
TNF	CD40	0.992
TNF	IFNG	0.991
TNF	FADD	0.99
TNF	JUN	0.989
TNF	CCL3	0.988
TNF	TNFRSF25	0.987
TNF	CYLD	0.985
TNF	LTA	0.984
TNF	FASLG	0.984
TNF	CXCL8	0.983
TNF	IL6R	0.982
TNF	CCL2	0.978
TNF	IL4	0.977
