Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9,HSPB1,TIMP-2,0.82047,1.0,0.02326,1.0,0.54348,0.0404
MMP9,PERM,TIMP-2,0.80195,1.0,0.02273,1.0,0.49412,0.06061
MMP9,TIMP-2,,0.79617,1.0,0.02128,1.0,0.52083,0.05051
MMP9,ADIPOQ,TIMP-2,0.79362,1.0,0.02128,1.0,0.52083,0.06061
HSPB1,PERM,TIMP-2,0.79345,1.0,0.025,1.0,0.51852,0.0303
PERM,TIMP-2,,0.78571,1.0,0.02273,1.0,0.49412,0.05051
PERM,ADIPOQ,TIMP-2,0.78247,1.0,0.02273,1.0,0.49412,0.05051
MMP9,,,0.77872,1.0,0.02128,1.0,0.52083,0.51515
MMP9,PERM,,0.76623,1.0,0.02273,1.0,0.49412,0.51515
PERM,,,0.75108,1.0,0.09091,1.0,0.5122,0.51515
MMP9,HSPB1,ADIPOQ,0.73163,1.0,0.04651,1.0,0.54945,0.13131
MMP9,HSPB1,,0.69442,1.0,0.02326,1.0,0.54348,0.34343
MMP9,ADIPOQ,,0.68979,1.0,0.02128,1.0,0.52083,0.19192
HSPB1,PERM,ADIPOQ,0.68512,1.0,0.025,1.0,0.51852,0.24242
ADIPOQ,,,0.67234,0.98,0.06383,0.75,0.52688,0.52525
MMP9,HSPB1,PERM,0.67083,1.0,0.025,1.0,0.51852,0.33333
MMP9,PERM,ADIPOQ,0.66342,1.0,0.02273,1.0,0.49412,0.21212
PERM,ADIPOQ,,0.65368,1.0,0.02273,1.0,0.49412,0.27273
HSPB1,PERM,,0.65238,1.0,0.025,1.0,0.51852,0.36364
ADIPOQ,TIMP-2,,0.64426,0.98,0.02128,0.5,0.51579,0.26263
HSPB1,ADIPOQ,TIMP-2,0.63953,1.0,0.02326,1.0,0.54348,0.24242
TIMP-2,,,0.61702,0.96,0.08511,0.66667,0.52747,0.49495
HSPB1,,,0.61209,1.0,0.02326,1.0,0.54348,0.50505
HSPB1,TIMP-2,,0.6093,1.0,0.02326,1.0,0.54348,0.26263
HSPB1,ADIPOQ,,0.58698,1.0,0.02326,1.0,0.54348,0.47475
