preferredName_A	preferredName_B	score
SMO	SHH	0.999
SMO	PTCH1	0.999
SMO	SUFU	0.998
SMO	IHH	0.997
SMO	ARRB2	0.997
SMO	ARRB1	0.994
SMO	PTCH2	0.993
SMO	KIF3A	0.991
SMO	GRK2	0.99
SMO	GLI1	0.988
SMO	EVC	0.983
SMO	GLI2	0.98
SMO	EVC2	0.979
SMO	GLI3	0.975
SMO	GNAI1	0.969
SMO	PRKACB	0.965
SMO	PRKACG	0.965
SMO	PRKACA	0.965
SMO	BOC	0.963
SMO	DHH	0.958
SMO	GNB1	0.951
SMO	KIF7	0.947
SMO	GRK3	0.935
SMO	MOSMO	0.931
SMO	MEGF8	0.93
SMO	GNG2	0.922
SMO	MGRN1	0.919
SMO	PRKCA	0.916
SMO	CSNK1D	0.914
SMO	CSNK1G3	0.913
SMO	CSNK1E	0.911
SMO	CSNK1G2	0.909
SMO	CSNK1A1L	0.905
