preferredName_A	preferredName_B	score
KNG1	KLKB1	0.999
KNG1	BDKRB2	0.999
KNG1	BDKRB1	0.999
KNG1	F12	0.998
KNG1	C1QBP	0.998
KNG1	F11	0.998
KNG1	KLK4	0.997
KNG1	ACE	0.995
KNG1	AGT	0.992
KNG1	TAC1	0.991
KNG1	THOP1	0.988
KNG1	HRG	0.972
KNG1	AGTR1	0.968
KNG1	SERPING1	0.964
KNG1	ALB	0.962
KNG1	KLK1	0.953
KNG1	REN	0.95
KNG1	NTS	0.949
KNG1	ACE2	0.948
KNG1	SERPINA1	0.943
KNG1	EDNRB	0.943
KNG1	EDNRA	0.942
KNG1	OPRD1	0.939
KNG1	AHSG	0.936
KNG1	TRPA1	0.928
KNG1	ADORA1	0.928
KNG1	A2M	0.927
KNG1	KRT1	0.927
KNG1	TRPV1	0.918
KNG1	FGG	0.917
KNG1	ADORA3	0.915
KNG1	CHRM1	0.914
KNG1	KLK2	0.91
KNG1	FGA	0.908
KNG1	CHRM4	0.905
KNG1	CHRM2	0.904
KNG1	CHRM3	0.903
KNG1	CHRM5	0.903
