preferredName_A	preferredName_B	score
POLE	POLE3	0.999
POLE	POLE2	0.999
POLE	POLD1	0.999
POLE	POLE4	0.999
POLE	MCM5	0.997
POLE	MCM2	0.997
POLE	POLA1	0.997
POLE	MCM3	0.996
POLE	MCM4	0.995
POLE	CDC45	0.995
POLE	GINS4	0.994
POLE	POLA2	0.993
POLE	WDHD1	0.992
POLE	POLD2	0.991
POLE	PRIM1	0.99
POLE	CHTF18	0.99
POLE	GINS1	0.989
POLE	REV3L	0.989
POLE	PRIM2	0.988
POLE	PCNA	0.988
POLE	MCM7	0.986
POLE	TIMELESS	0.98
POLE	MCM6	0.98
POLE	GINS3	0.978
POLE	MAD2L2	0.97
POLE	POLG	0.966
POLE	POLD3	0.963
POLE	CHRAC1	0.957
POLE	MSH6	0.957
POLE	TIPIN	0.953
POLE	GINS2	0.952
POLE	MSH2	0.947
POLE	DSCC1	0.943
POLE	LIG1	0.931
POLE	MCM9	0.928
POLE	CLSPN	0.922
POLE	BRCA1	0.919
POLE	XRCC1	0.911
POLE	FEN1	0.906
POLE	RBX1	0.906
POLE	CRCP	0.906
POLE	POLG2	0.903
