preferredName_A	preferredName_B	score
STAT5B	JAK2	0.999
STAT5B	JAK1	0.999
STAT5B	STAT3	0.998
STAT5B	EGFR	0.997
STAT5B	JAK3	0.997
STAT5B	ERBB4	0.993
STAT5B	IL2RA	0.989
STAT5B	TYK2	0.984
STAT5B	CRKL	0.983
STAT5B	ABL1	0.983
STAT5B	CISH	0.982
STAT5B	GHR	0.977
STAT5B	IL2RB	0.976
STAT5B	IL2RG	0.976
STAT5B	EPOR	0.972
STAT5B	KIT	0.971
STAT5B	FLT3	0.97
STAT5B	IL7	0.962
STAT5B	PTPN11	0.962
STAT5B	STAT1	0.958
STAT5B	IL2	0.956
STAT5B	PRLR	0.951
STAT5B	IRF9	0.949
STAT5B	STAT5A	0.949
STAT5B	PTPN2	0.948
STAT5B	IL7R	0.941
STAT5B	BCR	0.936
STAT5B	CSF2	0.935
STAT5B	CREBBP	0.934
STAT5B	SOCS1	0.926
STAT5B	STAT6	0.923
STAT5B	EP300	0.907
STAT5B	PRL	0.907
STAT5B	IL3	0.904
STAT5B	FHL1	0.902
STAT5B	EZH2	0.901
