preferredName_A	preferredName_B	score
RUNX1	RUNX1T1	0.999
RUNX1	ETS1	0.999
RUNX1	FOXP3	0.999
RUNX1	CBFB	0.999
RUNX1	HDAC1	0.998
RUNX1	TAL1	0.996
RUNX1	GATA2	0.996
RUNX1	CEBPA	0.994
RUNX1	SPI1	0.993
RUNX1	EP300	0.989
RUNX1	GATA3	0.989
RUNX1	GATA1	0.989
RUNX1	LMO2	0.988
RUNX1	MECOM	0.988
RUNX1	HDAC2	0.984
RUNX1	CSF1R	0.983
RUNX1	ETV6	0.983
RUNX1	RUNX3	0.98
RUNX1	CREBBP	0.977
RUNX1	CBFA2T3	0.976
RUNX1	TCF3	0.975
RUNX1	PML	0.974
RUNX1	TBX21	0.974
RUNX1	CTBP1	0.973
RUNX1	IL3	0.973
RUNX1	CEBPB	0.972
RUNX1	LEF1	0.963
RUNX1	PTPN11	0.96
RUNX1	PRMT1	0.96
RUNX1	KAT6A	0.959
RUNX1	SIN3A	0.952
RUNX1	MPO	0.947
RUNX1	HIF1A	0.945
RUNX1	LDB1	0.944
RUNX1	SRC	0.943
RUNX1	CTBP2	0.942
RUNX1	CSF2	0.941
RUNX1	IKZF1	0.941
RUNX1	MYB	0.936
RUNX1	YAP1	0.936
RUNX1	CDK6	0.929
RUNX1	MYH11	0.922
RUNX1	FLI1	0.921
RUNX1	PAX5	0.92
RUNX1	TCF12	0.911
RUNX1	FOXO3	0.908
RUNX1	CBFA2T2	0.907
RUNX1	RARA	0.905
